Source identifier ,Plume latitude (deg),Plume longitude (deg),Candidate identifier,Date of detection,Time of detection (UTC),Source type (best estimate),Sectors (IPCC),Qplume (kg/hr): Plume emissions,Sigma Qplume (kg/hr): Uncertainty for plume emissions
S00858,35.302579,-119.68979,ang20171013t211934-A,10/13/17,21:19,oil/gas gathering line,1B2 Oil & Natural Gas,489,236
S00858,35.302579,-119.68979,ang20171013t214049-C,10/13/17,21:40,oil/gas gathering line,1B2 Oil & Natural Gas,544,261
S00861,35.31651,-119.671627,ang20171013t213605-A,10/13/17,21:36,oil/gas pumpjack,1B2 Oil & Natural Gas,116,36
S00862,35.316186,-119.669865,ang20171013t205013-F,10/13/17,20:50,oil/gas pumpjack,1B2 Oil & Natural Gas,86,22
S00865,35.293125,-119.56972,ang20170909t180622-A,9/9/17,18:06,oil/gas gathering line,1B2 Oil & Natural Gas,244,148
S00865,35.293125,-119.56972,ang20170926t225148-A,9/26/17,22:51,oil/gas gathering line,1B2 Oil & Natural Gas,635,242
S00865,35.293125,-119.56972,ang20171010t213926-A,10/10/17,21:39,oil/gas gathering line,1B2 Oil & Natural Gas,175,58
S00865,35.293125,-119.56972,ang20171010t214752-A,10/10/17,21:47,oil/gas gathering line,1B2 Oil & Natural Gas,235,75
S00866,35.313311,-119.567816,ang20171010t213057-A,10/10/17,21:30,oil/gas pumpjack,1B2 Oil & Natural Gas,85,65
S00868,35.273482,-119.393568,ang20171010t213057-B,10/10/17,21:30,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,263,80
S00869,35.347035,-119.657501,ang20171013t205946-A,10/13/17,20:59,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,44,29
S00870,35.323788,-119.677383,ang20171013t213130-B,10/13/17,21:31,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,116,41
S00871,35.022978,-119.073729,ang20170906t221608-A,9/6/17,22:16,oil/gas gathering line,1B2 Oil & Natural Gas,959,319
S00871,35.022978,-119.073729,ang20170908t230641-A,9/8/17,23:06,oil/gas gathering line,1B2 Oil & Natural Gas,1562,490
S00873,34.993164,-119.091806,ang20170905t214122-B,9/5/17,21:41,oil/gas tank,1B2 Oil & Natural Gas,435,118
S00874,35.25385,-119.586805,ang20170902t210014-B,9/2/17,21:00,oil/gas gathering line,1B2 Oil & Natural Gas,260,28
S00874,35.25385,-119.586805,ang20170915t193535-A,9/15/17,19:35,oil/gas gathering line,1B2 Oil & Natural Gas,57,20
S00874,35.25385,-119.586805,ang20170915t194029-A,9/15/17,19:40,oil/gas gathering line,1B2 Oil & Natural Gas,399,152
S00874,35.25385,-119.586805,ang20170915t194533-A,9/15/17,19:45,oil/gas gathering line,1B2 Oil & Natural Gas,130,46
