New source,Source Latitude (deg),Source Longitude (deg),Plume Latitude (deg),Plume Longitude (deg),Candidate ID,Line name,Date of detection,Time of detection (UTC),Vista ID,Source type (best estimate),Sectors (IPCC),IME/L (kg/m),sIME (kg/m),u10 (m/s),su10 (m/s),Qplume (kg/hr)*,sQplume (kg/hr)*,Nearest facility
S00006,34.44705,-118.588342,34.44705,-118.588342,ang20171026t192539-A,ang20171026t192539,10/26/17,19:25:39,NSF000003,gas storage facility,1B2 Oil & Natural Gas,0.022,0.01,0.64,0.26,,,"Honor Rancho Gas Storage Facility, west vent"
S00006,34.44705,-118.588342,34.44705,-118.588342,ang20171026t193010-A,ang20171026t193010,10/26/17,19:30:10,NSF000003,gas storage facility,1B2 Oil & Natural Gas,0.03,0.005,0.64,0.26,,,"Honor Rancho Gas Storage Facility, west vent"
S00006,34.44705,-118.588342,34.44705,-118.588342,ang20171026t193343-A,ang20171026t193343,10/26/17,19:33:43,NSF000003,gas storage facility,1B2 Oil & Natural Gas,0.037,0.013,0.64,0.26,,,"Honor Rancho Gas Storage Facility, west vent"
S00006,34.44705,-118.588342,34.44705,-118.588342,ang20171026t193733-C,ang20171026t193733,10/26/17,19:37:33,NSF000003,gas storage facility,1B2 Oil & Natural Gas,0.026,0.004,0.64,0.26,,,"Honor Rancho Gas Storage Facility, west vent"
S00006,34.44705,-118.588342,34.44705,-118.588342,ang20171026t194120-A,ang20171026t194120,10/26/17,19:41:20,NSF000003,gas storage facility,1B2 Oil & Natural Gas,0.022,0.007,0.64,0.26,,,"Honor Rancho Gas Storage Facility, west vent"
S00006,34.44705,-118.588342,34.44705,-118.588342,ang20171026t194512-C,ang20171026t194512,10/26/17,19:45:12,NSF000003,gas storage facility,1B2 Oil & Natural Gas,0.042,0.016,0.64,0.26,,,"Honor Rancho Gas Storage Facility, west vent"
S00006,34.44705,-118.588342,34.44705,-118.588342,ang20171108t182106-A,ang20171108t182106,11/8/17,18:21:06,NSF000003,gas storage facility,1B2 Oil & Natural Gas,0.042,0.017,1.21,0.3,182,86,"Honor Rancho Gas Storage Facility, west vent"
S00006,34.44705,-118.588342,34.44705,-118.588342,ang20171108t182515-A,ang20171108t182515,11/8/17,18:25:15,NSF000003,gas storage facility,1B2 Oil & Natural Gas,0.059,0.006,1.21,0.3,257,69,"Honor Rancho Gas Storage Facility, west vent"
S00007,33.906,-118.4063,33.906,-118.4063,ang20170309t221021-F,ang20170309t221021,3/9/17,22:10:21,REF000005,refinery,1A1 Energy Industries,0.029,0.004,2.41,0.09,248,37,Chevron Refinery - El Segundo
S00007,33.906,-118.4063,33.906,-118.4063,ang20170616t183155-B,ang20170616t183155,6/16/17,18:31:55,REF000005,refinery,1A1 Energy Industries,0.022,0.004,1.11,0.66,88,56,Chevron Refinery - El Segundo
S00008,33.905431,-118.406435,33.905431,-118.406435,ang20160910t193531-C,ang20160910t193531,9/10/16,19:35:31,REF000005,refinery,1A1 Energy Industries,0.005,0.001,2.47,0.65,49,16,Chevron Refinery - El Segundo
S00008,33.905431,-118.406435,33.905431,-118.406435,ang20170901t212236-A,ang20170901t212236,9/1/17,21:22:36,REF000005,refinery,1A1 Energy Industries,0.014,0.005,3.3,0.15,166,58,Chevron Refinery - El Segundo
S00009,33.905983,-118.403489,33.905983,-118.403489,ang20160910t193531-F,ang20160910t193531,9/10/16,19:35:31,REF000005,refinery,1A1 Energy Industries,0.003,0.001,2.47,0.65,,,Chevron Refinery - El Segundo
S00011,33.776957,-118.28704,33.776957,-118.28704,ang20160910t201644-A,ang20160910t201644,9/10/16,20:16:44,REF000013,refinery,1A1 Energy Industries,0.009,0.001,1.6,0.78,54,27,Phillips 66 Refinery-Wilmington
S00012,33.772601,-118.286431,33.772601,-118.286431,ang20170901t211100-A,ang20170901t211100,9/1/17,21:11:00,REF000013,refinery,1A1 Energy Industries,0.009,0.002,2.32,0.98,77,38,Phillips 66 Refinery-Wilmington
S00014,33.804668,-118.243853,33.804668,-118.243853,ang20160910t204409-A,ang20160910t204409,9/10/16,20:44:09,REF000012,refinery,1A1 Energy Industries,0.006,0.001,1.06,0.39,22,9,Phillips 66 Refinery-Carson
S00014,33.804668,-118.243853,33.804668,-118.243853,ang20170911t194546-A,ang20170911t194546,9/11/17,19:45:46,REF000012,refinery,1A1 Energy Industries,0.014,0.002,1.18,0.2,59,14,Phillips 66 Refinery-Carson
S00016,33.81581,-118.246889,33.81581,-118.246889,ang20160910t204409-C,ang20160910t204409,9/10/16,20:44:09,REF000021,refinery,1A1 Energy Industries,0.017,0.008,1.06,0.39,64,40,Tesoro - Carson
S00017,33.972726,-117.699937,33.972726,-117.699937,ang20160910t214407-A,ang20160910t214407,9/10/16,21:44:07,NA,gas distribution line,1B2 Oil & Natural Gas,0.014,0.005,4.16,0.67,207,87,Chino Hills Neighborhood
S00017,33.972726,-117.699937,33.972726,-117.699937,ang20160915t185210-A,ang20160915t185210,9/15/16,18:52:10,NA,gas distribution line,1B2 Oil & Natural Gas,0.055,0.011,1.4,0.43,274,102,Chino Hills Neighborhood
S00017,33.972726,-117.699937,33.972726,-117.699937,ang20160915t190943-A,ang20160915t190943,9/15/16,19:09:43,NA,gas distribution line,1B2 Oil & Natural Gas,0.052,0.016,1.88,0.39,354,129,Chino Hills Neighborhood
S00019,34.779864,-116.594275,34.779864,-116.594275,ang20160911t182057-A,ang20160911t182057,9/11/16,18:20:57,NGS0925,gas compressor,1B2 Oil & Natural Gas,0.01,0.006,3.26,0.32,122,74,Sundoen Natural Gas Compressor Station
S00022,35.185084,-119.102055,35.185084,-119.102055,ang20160912t201952-A,ang20160912t201952,9/12/16,20:19:52,DAF000803,dairy/manure,3A2 Manure Management,0.009,0.001,3.72,0.2,125,20,T & W Farms Dairy
S00023,35.200662,-119.052348,35.200662,-119.052348,ang20160912t201952-B,ang20160912t201952,9/12/16,20:19:52,DAF000422,dairy/manure,3A2 Manure Management,0.046,0.01,3.72,0.2,620,133,Bear Mountain Dairy
S00023,35.200662,-119.052348,35.200662,-119.052348,ang20160912t202647-B,ang20160912t202647,9/12/16,20:26:47,DAF000422,dairy/manure,3A2 Manure Management,0.024,0.006,3.72,0.2,327,89,Bear Mountain Dairy
