Source identifier ,Source latitude (deg),Source longitude (deg),Vista ID,Source type ,IPCC sector,N overflights,Source Persistence (f),Confidence in persistence ,Qsource (kg/hr),sQ  (kg/hr)
S00657,35.395,-119.0531,FAB001844,oil/gas tank,1B2 Oil & Natural Gas,10,0.4,0.9,68.3,18.7
S00658,35.4218,-119.0796,NA,gas distribution line,1B2 Oil & Natural Gas,7,0.57,0.9,93.2,28.3
S00659,35.366,-119.6704,FLD000112,oil/gas gathering line,1B2 Oil & Natural Gas,7,0.71,0.9,149,26.7
S00660,35.3766,-119.6843,FLD000112,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,3,0.33,0.6,43.6,7.6
S00661,35.2412,-119.5904,FLD000285,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,7,0.14,0.9,32.9,3.9
S00663,35.4174,-119.7027,FAB001671,oil/gas tank,1B2 Oil & Natural Gas,3,0.33,0.6,49.3,21.9
S00669,35.1797,-119.4602,NPP000001,oil/gas pumpjack,1B2 Oil & Natural Gas,10,0.1,0.9,88.3,26.6
S00670,35.1604,-119.3912,LNF000083,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,10,0.1,0.9,58.8,11.6
S00671,35.3984,-119.0488,FLD000156,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,7,0.14,0.9,40.1,13.7
S00672,35.327,-118.9616,WWT000003,dairy/manure,3A2 Manure Management,6,0.17,0.8,26.1,2.6
S00673,35.2731,-119.4015,FLD000140,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,12,0.08,1,37.5,5.6
S00674,35.274,-119.393,FLD000140,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,14,0.07,1,38.1,4.1
S00677,34.3216,-119.3235,FLD000486,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,7,0.14,0.9,67.8,26.4
S00678,34.3374,-119.3808,FLD000362,oil/gas gathering line,1B2 Oil & Natural Gas,6,0.5,0.8,675.1,193.1
S00680,35.2934,-119.5698,FLD000018,oil/gas gathering line,1B2 Oil & Natural Gas,11,0.09,1,8.9,2.6
S00681,35.3144,-119.5762,FLD000140,oil/gas gathering line,1B2 Oil & Natural Gas,6,0.17,0.8,70.3,21.4
S00684,38.0433,-122.251,REF000014,refinery,1A1 Energy Industries,15,0.27,1,138.4,73
